Images,Copy Nimber
"[[[0.02745098 0.02745098 0.00392157]
  [0.02745098 0.02745098 0.00392157]
  [0.02745098 0.02745098 0.00392157]
  ...
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]]

 [[0.02352941 0.02352941 0.        ]
  [0.02745098 0.02745098 0.00392157]
  [0.02352941 0.02352941 0.        ]
  ...
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]]

 [[0.02352941 0.02352941 0.        ]
  [0.02352941 0.02352941 0.        ]
  [0.02352941 0.02352941 0.        ]
  ...
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]]

 ...

 [[0.03137255 0.         0.        ]
  [0.03137255 0.         0.        ]
  [0.03529412 0.00392157 0.00392157]
  ...
  [0.03921569 0.01176471 0.02352941]
  [0.03529412 0.00784314 0.01960784]
  [0.02745098 0.         0.01176471]]

 [[0.03137255 0.         0.        ]
  [0.03137255 0.         0.        ]
  [0.03137255 0.         0.        ]
  ...
  [0.04313726 0.01568628 0.02745098]
  [0.03921569 0.01176471 0.02352941]
  [0.03137255 0.00392157 0.01568628]]

 [[0.03137255 0.         0.        ]
  [0.03529412 0.00392157 0.00392157]
  [0.03529412 0.00392157 0.00392157]
  ...
  [0.04313726 0.01568628 0.02745098]
  [0.03921569 0.01176471 0.02352941]
  [0.03137255 0.00392157 0.01568628]]]",30
"[[[0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 [[0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 [[0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 ...

 [[0.03137255 0.01960784 0.00392157]
  [0.02745098 0.01568628 0.        ]
  [0.02745098 0.01568628 0.        ]
  ...
  [0.04313726 0.02352941 0.02745098]
  [0.03529412 0.01568628 0.01960784]
  [0.02745098 0.00784314 0.01176471]]

 [[0.02745098 0.01568628 0.        ]
  [0.02745098 0.01568628 0.        ]
  [0.02352941 0.01176471 0.        ]
  ...
  [0.04313726 0.02352941 0.02745098]
  [0.03529412 0.01568628 0.01960784]
  [0.01960784 0.         0.00392157]]

 [[0.02745098 0.01568628 0.        ]
  [0.02745098 0.01568628 0.        ]
  [0.02352941 0.01176471 0.        ]
  ...
  [0.04313726 0.02352941 0.02745098]
  [0.03137255 0.01176471 0.01568628]
  [0.01568628 0.         0.        ]]]",30
"[[[0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 [[0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 [[0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 ...

 [[0.01568628 0.01176471 0.        ]
  [0.01568628 0.01176471 0.        ]
  [0.01568628 0.01176471 0.        ]
  ...
  [0.02745098 0.00784314 0.01176471]
  [0.02352941 0.00392157 0.00784314]
  [0.01568628 0.         0.        ]]

 [[0.01568628 0.01176471 0.        ]
  [0.01568628 0.01176471 0.        ]
  [0.01568628 0.01176471 0.        ]
  ...
  [0.03137255 0.01176471 0.01568628]
  [0.02745098 0.00784314 0.01176471]
  [0.01960784 0.         0.00392157]]

 [[0.01568628 0.01176471 0.        ]
  [0.01568628 0.01176471 0.        ]
  [0.01568628 0.01176471 0.        ]
  ...
  [0.03529412 0.01568628 0.01960784]
  [0.02745098 0.00784314 0.01176471]
  [0.01960784 0.         0.00392157]]]",100
"[[[0.01568628 0.00784314 0.00784314]
  [0.01176471 0.00392157 0.00392157]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]]

 [[0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]]

 [[0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]]

 ...

 [[0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  [0.00392157 0.00784314 0.        ]
  ...
  [0.01960784 0.01960784 0.01960784]
  [0.01568628 0.01568628 0.01568628]
  [0.00784314 0.00784314 0.00784314]]

 [[0.01176471 0.01568628 0.00784314]
  [0.00784314 0.01176471 0.00392157]
  [0.         0.00392157 0.        ]
  ...
  [0.02352941 0.02352941 0.02352941]
  [0.01568628 0.01568628 0.01568628]
  [0.00784314 0.00784314 0.00784314]]

 [[0.01568628 0.01960784 0.01176471]
  [0.00784314 0.01176471 0.00392157]
  [0.00392157 0.00784314 0.        ]
  ...
  [0.01960784 0.01960784 0.01960784]
  [0.01176471 0.01176471 0.01176471]
  [0.         0.         0.        ]]]",100
"[[[0.         0.         0.00392157]
  [0.         0.         0.00392157]
  [0.         0.         0.00392157]
  ...
  [0.10196079 0.         0.        ]
  [0.10588235 0.         0.00392157]
  [0.10588235 0.         0.00392157]]

 [[0.         0.         0.00392157]
  [0.         0.         0.00392157]
  [0.         0.         0.00392157]
  ...
  [0.10196079 0.         0.        ]
  [0.10588235 0.         0.00392157]
  [0.10588235 0.         0.00392157]]

 [[0.         0.         0.00392157]
  [0.         0.         0.00392157]
  [0.         0.         0.00392157]
  ...
  [0.10980392 0.         0.        ]
  [0.10196079 0.         0.        ]
  [0.10588235 0.         0.00392157]]

 ...

 [[0.02352941 0.00784314 0.00392157]
  [0.02352941 0.00784314 0.00392157]
  [0.02745098 0.01176471 0.00784314]
  ...
  [0.01960784 0.03529412 0.01568628]
  [0.01568628 0.03137255 0.01176471]
  [0.00392157 0.01960784 0.        ]]

 [[0.02352941 0.00784314 0.00392157]
  [0.02352941 0.00784314 0.00392157]
  [0.02745098 0.01176471 0.00784314]
  ...
  [0.01176471 0.02745098 0.00784314]
  [0.01176471 0.02745098 0.00784314]
  [0.00392157 0.01960784 0.        ]]

 [[0.02352941 0.00784314 0.00392157]
  [0.02352941 0.00784314 0.00392157]
  [0.02745098 0.01176471 0.00784314]
  ...
  [0.01176471 0.02745098 0.00784314]
  [0.01568628 0.03137255 0.01176471]
  [0.01176471 0.02745098 0.00784314]]]",300
"[[[0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  ...
  [0.         0.         0.01176471]
  [0.         0.         0.01176471]
  [0.         0.         0.01176471]]

 [[0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  ...
  [0.         0.         0.01176471]
  [0.         0.         0.01176471]
  [0.         0.         0.01176471]]

 [[0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  [0.00784314 0.01176471 0.00392157]
  ...
  [0.         0.         0.01176471]
  [0.         0.         0.01176471]
  [0.         0.         0.01176471]]

 ...

 [[0.01568628 0.00392157 0.01176471]
  [0.01568628 0.00392157 0.01176471]
  [0.01176471 0.         0.00784314]
  ...
  [0.01960784 0.03921569 0.03529412]
  [0.01568628 0.03529412 0.03137255]
  [0.00392157 0.02352941 0.01960784]]

 [[0.00784314 0.         0.00392157]
  [0.01176471 0.         0.00784314]
  [0.01176471 0.         0.00784314]
  ...
  [0.01176471 0.03137255 0.02745098]
  [0.01568628 0.03529412 0.03137255]
  [0.00784314 0.02745098 0.02352941]]

 [[0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  ...
  [0.         0.01960784 0.01568628]
  [0.00784314 0.02745098 0.02352941]
  [0.00784314 0.02745098 0.02352941]]]",300
"[[[0.01176471 0.         0.01568628]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  ...
  [0.15686275 0.         0.00784314]
  [0.16470589 0.         0.00784314]
  [0.16078432 0.         0.00392157]]

 [[0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  ...
  [0.15686275 0.         0.00784314]
  [0.16078432 0.         0.00392157]
  [0.16078432 0.         0.00392157]]

 [[0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  ...
  [0.15294118 0.         0.00392157]
  [0.15294118 0.         0.00392157]
  [0.16078432 0.         0.00392157]]

 ...

 [[0.01960784 0.         0.00392157]
  [0.02352941 0.00392157 0.00784314]
  [0.02352941 0.00392157 0.00784314]
  ...
  [0.02352941 0.01960784 0.02745098]
  [0.01568628 0.01176471 0.01960784]
  [0.00784314 0.00392157 0.01176471]]

 [[0.01568628 0.         0.        ]
  [0.01960784 0.         0.00392157]
  [0.02352941 0.00392157 0.00784314]
  ...
  [0.02352941 0.01960784 0.02745098]
  [0.01568628 0.01176471 0.01960784]
  [0.00392157 0.         0.00784314]]

 [[0.01568628 0.         0.        ]
  [0.01960784 0.         0.00392157]
  [0.02352941 0.00392157 0.00784314]
  ...
  [0.02352941 0.01960784 0.02745098]
  [0.01568628 0.01176471 0.01960784]
  [0.         0.         0.00392157]]]",1000
"[[[0.01960784 0.         0.00784314]
  [0.01960784 0.         0.00784314]
  [0.01960784 0.         0.00784314]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 [[0.01960784 0.         0.00784314]
  [0.01960784 0.         0.00784314]
  [0.01960784 0.         0.00784314]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 [[0.01960784 0.         0.00784314]
  [0.01960784 0.         0.00784314]
  [0.01960784 0.         0.00784314]
  ...
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]]

 ...

 [[0.01960784 0.         0.00392157]
  [0.01568628 0.         0.        ]
  [0.01568628 0.         0.        ]
  ...
  [0.03921569 0.02745098 0.03529412]
  [0.03137255 0.01960784 0.02745098]
  [0.01568628 0.00392157 0.01176471]]

 [[0.01568628 0.         0.        ]
  [0.01568628 0.         0.        ]
  [0.01568628 0.         0.        ]
  ...
  [0.03921569 0.02745098 0.03529412]
  [0.03137255 0.01960784 0.02745098]
  [0.01568628 0.00392157 0.01176471]]

 [[0.01568628 0.         0.        ]
  [0.01568628 0.         0.        ]
  [0.01568628 0.         0.        ]
  ...
  [0.03921569 0.02745098 0.03529412]
  [0.03137255 0.01960784 0.02745098]
  [0.01568628 0.00392157 0.01176471]]]",1000
"[[[0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  ...
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]]

 [[0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  ...
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]]

 [[0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  [0.00784314 0.         0.01176471]
  ...
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]
  [0.01568628 0.         0.01176471]]

 ...

 [[0.01568628 0.00784314 0.00784314]
  [0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  ...
  [0.02745098 0.02352941 0.03137255]
  [0.01568628 0.01176471 0.01960784]
  [0.01176471 0.00784314 0.01568628]]

 [[0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  [0.00784314 0.         0.        ]
  ...
  [0.02745098 0.02352941 0.03137255]
  [0.01568628 0.01176471 0.01960784]
  [0.01176471 0.00784314 0.01568628]]

 [[0.01176471 0.00392157 0.00392157]
  [0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  ...
  [0.01960784 0.01568628 0.02352941]
  [0.00784314 0.00392157 0.01176471]
  [0.00392157 0.         0.00784314]]]",3000
"[[[0.01176471 0.00392157 0.00392157]
  [0.01176471 0.00392157 0.00392157]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]]

 [[0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]]

 [[0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  [0.00784314 0.         0.        ]
  ...
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]
  [0.00784314 0.         0.00392157]]

 ...

 [[0.01568628 0.         0.00392157]
  [0.01568628 0.         0.00392157]
  [0.01568628 0.         0.00392157]
  ...
  [0.02745098 0.07058824 0.03137255]
  [0.01960784 0.0627451  0.02352941]
  [0.         0.03921569 0.        ]]

 [[0.01568628 0.         0.00392157]
  [0.01568628 0.         0.00392157]
  [0.01568628 0.         0.00392157]
  ...
  [0.02352941 0.06666667 0.02745098]
  [0.01960784 0.0627451  0.02352941]
  [0.         0.04313726 0.00392157]]

 [[0.01568628 0.         0.00392157]
  [0.01568628 0.         0.00392157]
  [0.01568628 0.         0.00392157]
  ...
  [0.02352941 0.06666667 0.02745098]
  [0.01568628 0.05882353 0.01960784]
  [0.         0.04313726 0.00392157]]]",3000
