Images,Copy Nimber
"[[ 4.  4.  5. ... 12. 12. 12.]
 [ 4.  4.  5. ... 11. 12. 12.]
 [ 4.  5.  5. ... 11. 12. 11.]
 ...
 [ 1.  1.  1. ...  8.  7.  7.]
 [ 1.  1.  1. ...  7.  7.  7.]
 [ 1.  1.  1. ...  7.  7.  7.]]",10000
"[[7. 7. 7. ... 2. 1. 1.]
 [8. 7. 7. ... 2. 1. 1.]
 [8. 7. 7. ... 2. 1. 1.]
 ...
 [1. 1. 1. ... 4. 2. 3.]
 [1. 1. 1. ... 4. 2. 3.]
 [1. 1. 1. ... 3. 4. 4.]]",10000
"[[8. 8. 9. ... 4. 4. 4.]
 [9. 8. 9. ... 4. 4. 4.]
 [9. 9. 9. ... 5. 5. 4.]
 ...
 [2. 2. 2. ... 6. 7. 7.]
 [2. 2. 2. ... 6. 7. 7.]
 [2. 2. 2. ... 6. 7. 7.]]",30
"[[ 4.  4.  4. ... 11.  9.  9.]
 [ 5.  5.  5. ...  9.  9.  8.]
 [ 5.  5.  5. ...  8.  8.  8.]
 ...
 [ 8.  8.  9. ...  7.  6.  6.]
 [ 8.  8.  9. ...  6.  6.  6.]
 [ 8.  8.  8. ...  5.  5.  5.]]",30
"[[6. 6. 6. ... 6. 6. 6.]
 [6. 6. 6. ... 6. 6. 6.]
 [6. 6. 6. ... 6. 6. 6.]
 ...
 [1. 1. 1. ... 6. 6. 6.]
 [1. 1. 1. ... 6. 6. 6.]
 [1. 1. 1. ... 6. 6. 6.]]",100
"[[6. 7. 7. ... 5. 5. 5.]
 [6. 7. 7. ... 5. 5. 4.]
 [7. 7. 7. ... 4. 4. 4.]
 ...
 [1. 1. 1. ... 4. 5. 5.]
 [1. 1. 1. ... 5. 5. 5.]
 [1. 1. 1. ... 5. 5. 6.]]",100
"[[5. 5. 5. ... 1. 2. 1.]
 [4. 5. 5. ... 2. 2. 1.]
 [5. 5. 5. ... 2. 2. 2.]
 ...
 [1. 1. 1. ... 4. 5. 9.]
 [1. 1. 1. ... 4. 5. 9.]
 [1. 1. 1. ... 2. 2. 7.]]",300
"[[5. 5. 5. ... 1. 1. 1.]
 [5. 5. 5. ... 1. 1. 1.]
 [5. 5. 5. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 5. 5. 5.]
 [1. 1. 1. ... 5. 5. 5.]
 [1. 1. 1. ... 5. 5. 5.]]",300
"[[11. 11. 11. ...  2.  2.  2.]
 [11. 11. 11. ...  2.  2.  2.]
 [11. 11. 10. ...  2.  1.  1.]
 ...
 [ 1.  1.  1. ...  3.  4.  4.]
 [ 1.  1.  1. ...  4.  4.  4.]
 [ 1.  1.  1. ...  4.  4.  4.]]",1000
"[[7. 7. 8. ... 2. 2. 2.]
 [7. 6. 7. ... 2. 2. 2.]
 [6. 6. 6. ... 2. 2. 2.]
 ...
 [1. 1. 1. ... 4. 4. 4.]
 [1. 1. 1. ... 4. 4. 4.]
 [1. 1. 1. ... 4. 5. 4.]]",1000
"[[ 9.  9. 10. ...  6.  6.  6.]
 [ 9.  9. 10. ...  6.  5.  6.]
 [ 9.  9. 10. ...  5.  5.  6.]
 ...
 [ 1.  2.  2. ...  4.  4.  4.]
 [ 1.  1.  1. ...  5.  5.  5.]
 [ 1.  1.  1. ...  5.  5.  5.]]",3000
"[[4. 4. 4. ... 1. 1. 1.]
 [4. 4. 4. ... 1. 1. 1.]
 [4. 4. 4. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 4. 4. 4.]
 [1. 1. 1. ... 4. 4. 4.]
 [1. 1. 1. ... 4. 4. 4.]]",3000
